,number,value,datetime_start,datetime_complete,duration,params_dim_hidden,params_n_layers,params_w0,state
87,87,0.04935755953192711,2022-12-13 20:55:36.503299,2022-12-13 20:56:28.732709,0 days 00:00:52.229410,256,4,21.669506034272075,COMPLETE
88,88,0.032179687172174454,2022-12-13 20:56:28.760281,2022-12-13 20:57:28.884615,0 days 00:01:00.124334,256,3,19.497936310930665,COMPLETE
89,89,0.03923963010311127,2022-12-13 20:57:28.917172,2022-12-13 20:58:33.331940,0 days 00:01:04.414768,256,3,19.703638726650844,COMPLETE
90,90,0.15689417719841003,2022-12-13 20:58:33.350291,2022-12-13 20:59:36.508437,0 days 00:01:03.158146,256,2,23.419855890372204,COMPLETE
91,91,0.04006054997444153,2022-12-13 20:59:36.534137,2022-12-13 21:00:35.915214,0 days 00:00:59.381077,256,3,15.794034180987232,COMPLETE
92,92,0.04551783204078674,2022-12-13 21:00:35.941453,2022-12-13 21:01:29.597697,0 days 00:00:53.656244,256,3,22.70935516243609,COMPLETE
93,93,0.05216725170612335,2022-12-13 21:01:29.629675,2022-12-13 21:02:40.445581,0 days 00:01:10.815906,256,4,25.5867144622208,COMPLETE
94,94,0.040809571743011475,2022-12-13 21:02:40.491913,2022-12-13 21:03:53.314233,0 days 00:01:12.822320,256,4,18.05940734856441,COMPLETE
95,95,0.034278176724910736,2022-12-13 21:03:53.340694,2022-12-13 21:04:48.459894,0 days 00:00:55.119200,256,3,19.59506111527365,COMPLETE
96,96,0.045243192464113235,2022-12-13 21:04:48.482485,2022-12-13 21:05:44.781030,0 days 00:00:56.298545,256,4,6.0243735011195705,COMPLETE
97,97,0.03718991577625275,2022-12-13 21:05:44.807505,2022-12-13 21:06:56.289071,0 days 00:01:11.481566,256,4,12.921427297530254,COMPLETE
98,98,0.03987466171383858,2022-12-13 21:06:56.338637,2022-12-13 21:08:05.947068,0 days 00:01:09.608431,256,3,14.621499922757373,COMPLETE
99,99,0.052389807999134064,2022-12-13 21:08:05.975839,2022-12-13 21:09:04.737669,0 days 00:00:58.761830,256,5,10.582764416402766,COMPLETE
100,100,0.03985375538468361,2022-12-13 21:09:04.767766,2022-12-13 21:10:13.882301,0 days 00:01:09.114535,256,4,21.71315993837046,COMPLETE
101,101,0.03584977611899376,2022-12-13 21:10:13.955193,2022-12-13 21:11:28.862973,0 days 00:01:14.907780,256,4,16.3439089188009,COMPLETE
102,102,0.0587940514087677,2022-12-13 21:11:28.889446,2022-12-13 21:12:24.009748,0 days 00:00:55.120302,256,3,9.02616113484102,COMPLETE
103,103,0.03451613336801529,2022-12-13 21:12:24.041325,2022-12-13 21:13:37.606798,0 days 00:01:13.565473,256,4,9.329836712760802,COMPLETE
104,104,0.03397979959845543,2022-12-13 21:13:37.638832,2022-12-13 21:14:44.115533,0 days 00:01:06.476701,256,4,8.308411314607957,COMPLETE
105,105,0.0355353057384491,2022-12-13 21:14:44.141727,2022-12-13 21:15:42.593950,0 days 00:00:58.452223,256,4,11.716590072866804,COMPLETE
106,106,0.05711159110069275,2022-12-13 21:15:42.663230,2022-12-13 21:16:53.460900,0 days 00:01:10.797670,256,4,28.97816306182211,COMPLETE
107,107,0.03954869881272316,2022-12-13 21:16:53.486036,2022-12-13 21:17:56.244215,0 days 00:01:02.758179,256,4,6.023685788094504,COMPLETE
108,108,0.07356691360473633,2022-12-13 21:17:56.271444,2022-12-13 21:18:52.335706,0 days 00:00:56.064262,256,5,30.91975999467146,COMPLETE
109,109,0.0897735059261322,2022-12-13 21:18:52.361624,2022-12-13 21:19:45.779890,0 days 00:00:53.418266,256,4,3.288172987612917,COMPLETE
110,110,0.03581426292657852,2022-12-13 21:19:45.806348,2022-12-13 21:20:40.868046,0 days 00:00:55.061698,256,4,7.632136256708365,COMPLETE
111,111,0.05363988131284714,2022-12-13 21:20:40.895408,2022-12-13 21:21:34.640937,0 days 00:00:53.745529,256,4,5.2320698261285905,COMPLETE
112,112,0.26023343205451965,2022-12-13 21:21:34.667481,2022-12-13 21:22:24.256095,0 days 00:00:49.588614,256,2,15.686904252539259,COMPLETE
113,113,0.03648141399025917,2022-12-13 21:22:24.284059,2022-12-13 21:23:31.060182,0 days 00:01:06.776123,256,4,8.475150793814942,COMPLETE
114,114,0.04234243184328079,2022-12-13 21:23:31.092796,2022-12-13 21:24:40.513569,0 days 00:01:09.420773,256,4,13.834896891302945,COMPLETE
115,115,0.05824878066778183,2022-12-13 21:24:40.560466,2022-12-13 21:25:44.873738,0 days 00:01:04.313272,256,4,10.612679144720236,COMPLETE
116,116,0.05475214496254921,2022-12-13 21:25:44.898224,2022-12-13 21:26:39.769228,0 days 00:00:54.871004,256,4,12.110270459998164,COMPLETE
117,117,0.0835825577378273,2022-12-13 21:26:39.800045,2022-12-13 21:27:32.518920,0 days 00:00:52.718875,256,4,1.998716231395397,COMPLETE
118,118,0.0938350260257721,2022-12-13 21:27:32.545597,2022-12-13 21:28:26.758433,0 days 00:00:54.212836,256,4,3.949645665164664,COMPLETE
119,119,0.040661152452230453,2022-12-13 21:28:26.788205,2022-12-13 21:29:22.820907,0 days 00:00:56.032702,256,4,6.468506234258408,COMPLETE
120,120,0.07859586179256439,2022-12-13 21:29:22.848866,2022-12-13 21:30:30.572174,0 days 00:01:07.723308,256,5,9.684631073018098,COMPLETE
121,121,0.04122248664498329,2022-12-13 21:30:30.621573,2022-12-13 21:31:42.541720,0 days 00:01:11.920147,256,3,13.224311508965316,COMPLETE
122,122,0.05049419403076172,2022-12-13 21:31:42.590585,2022-12-13 21:32:57.070670,0 days 00:01:14.480085,256,4,18.19694794254276,COMPLETE
123,123,0.039315592497587204,2022-12-13 21:32:57.097820,2022-12-13 21:33:54.396882,0 days 00:00:57.299062,256,4,14.275390801722752,COMPLETE
124,124,0.03482019901275635,2022-12-13 21:33:54.421885,2022-12-13 21:35:05.111026,0 days 00:01:10.689141,256,4,8.880132033914416,COMPLETE
125,125,0.03993810713291168,2022-12-13 21:35:05.138015,2022-12-13 21:36:16.924801,0 days 00:01:11.786786,256,4,11.453207130790394,COMPLETE
126,126,0.037084147334098816,2022-12-13 21:36:16.952863,2022-12-13 21:37:25.176535,0 days 00:01:08.223672,256,4,19.922744166045533,COMPLETE
127,127,0.03521027788519859,2022-12-13 21:37:25.201171,2022-12-13 21:38:20.989088,0 days 00:00:55.787917,256,4,16.815788176397202,COMPLETE
128,128,0.03815712779760361,2022-12-13 21:38:21.013803,2022-12-13 21:39:16.309834,0 days 00:00:55.296031,256,4,7.230285456308229,COMPLETE
129,129,0.11678300052881241,2022-12-13 21:39:16.337187,2022-12-13 21:40:28.195565,0 days 00:01:11.858378,128,4,13.286455086274643,COMPLETE
130,130,0.0543285571038723,2022-12-13 21:40:28.227976,2022-12-13 21:41:27.640094,0 days 00:00:59.412118,256,3,11.349916761325826,COMPLETE
131,131,0.0643770694732666,2022-12-13 21:41:27.665959,2022-12-13 21:42:44.127888,0 days 00:01:16.461929,256,5,45.778997490248514,COMPLETE
132,132,0.5433973670005798,2022-12-13 21:42:44.156169,2022-12-13 21:43:35.389254,0 days 00:00:51.233085,64,4,15.2330846240582,COMPLETE
133,133,0.04833777993917465,2022-12-13 21:43:35.418097,2022-12-13 21:44:46.424755,0 days 00:01:11.006658,256,3,18.92223851086397,COMPLETE
134,134,0.0392952524125576,2022-12-13 21:44:46.455015,2022-12-13 21:45:57.665304,0 days 00:01:11.210289,256,3,19.451369193161536,COMPLETE
135,135,0.05628645420074463,2022-12-13 21:45:57.691785,2022-12-13 21:46:48.671879,0 days 00:00:50.980094,256,3,21.79409896301653,COMPLETE
136,136,0.03233778849244118,2022-12-13 21:46:48.699264,2022-12-13 21:47:40.555313,0 days 00:00:51.856049,256,4,8.466210360066873,COMPLETE
137,137,0.03356705605983734,2022-12-13 21:47:40.580705,2022-12-13 21:48:31.776792,0 days 00:00:51.196087,256,4,8.891541434445722,COMPLETE
138,138,0.034685149788856506,2022-12-13 21:48:31.803798,2022-12-13 21:49:23.084944,0 days 00:00:51.281146,256,4,8.123186039890811,COMPLETE
139,139,0.04854239150881767,2022-12-13 21:49:23.110683,2022-12-13 21:50:14.724932,0 days 00:00:51.614249,256,4,5.434657420707028,COMPLETE
140,140,0.03348459303379059,2022-12-13 21:50:14.749825,2022-12-13 21:51:06.448459,0 days 00:00:51.698634,256,4,9.733220952935268,COMPLETE
141,141,0.03407655283808708,2022-12-13 21:51:06.474305,2022-12-13 21:51:57.614805,0 days 00:00:51.140500,256,4,25.515875568533055,COMPLETE
142,142,0.05363303795456886,2022-12-13 21:51:57.642664,2022-12-13 21:52:49.651913,0 days 00:00:52.009249,256,4,10.426465478655189,COMPLETE
143,143,0.05634894594550133,2022-12-13 21:52:49.682979,2022-12-13 21:53:59.994309,0 days 00:01:10.311330,256,4,26.011978933934714,COMPLETE
144,144,0.05425863713026047,2022-12-13 21:54:00.022994,2022-12-13 21:55:07.753274,0 days 00:01:07.730280,256,4,25.04439041900718,COMPLETE
145,145,0.061573565006256104,2022-12-13 21:55:07.783936,2022-12-13 21:56:14.127319,0 days 00:01:06.343383,256,4,36.76375745261094,COMPLETE
146,146,0.03910084068775177,2022-12-13 21:56:14.159977,2022-12-13 21:57:09.004506,0 days 00:00:54.844529,256,4,6.924264415344606,COMPLETE
147,147,0.03467884287238121,2022-12-13 21:57:09.029675,2022-12-13 21:58:16.450985,0 days 00:01:07.421310,256,4,10.089696707093875,COMPLETE
148,148,0.06203961372375488,2022-12-13 21:58:16.481553,2022-12-13 21:59:11.248143,0 days 00:00:54.766590,256,4,4.850906213044961,COMPLETE
149,149,0.035902805626392365,2022-12-13 21:59:11.273932,2022-12-13 22:00:19.975564,0 days 00:01:08.701632,256,4,7.743346646176512,COMPLETE
150,150,0.06862376630306244,2022-12-13 22:00:20.004127,2022-12-13 22:01:30.696354,0 days 00:01:10.692227,256,4,56.630227739271284,COMPLETE
151,151,0.05804409459233284,2022-12-13 22:01:30.722885,2022-12-13 22:02:31.465236,0 days 00:01:00.742351,256,4,22.960974104828843,COMPLETE
152,152,0.061835743486881256,2022-12-13 22:02:31.512507,2022-12-13 22:03:47.343277,0 days 00:01:15.830770,256,4,32.61701347080577,COMPLETE
153,153,0.03276226669549942,2022-12-13 22:03:47.390834,2022-12-13 22:05:00.911919,0 days 00:01:13.521085,256,4,9.065117646891649,COMPLETE
154,154,0.05621164292097092,2022-12-13 22:05:00.940325,2022-12-13 22:05:56.813313,0 days 00:00:55.872988,256,4,28.127177342453056,COMPLETE
155,155,0.033808011561632156,2022-12-13 22:05:56.838774,2022-12-13 22:07:05.202496,0 days 00:01:08.363722,256,4,8.712048462698318,COMPLETE
156,156,0.03527458757162094,2022-12-13 22:07:05.229336,2022-12-13 22:08:09.454454,0 days 00:01:04.225118,256,4,9.075116706035509,COMPLETE
157,157,0.04115152731537819,2022-12-13 22:08:09.482340,2022-12-13 22:09:11.955373,0 days 00:01:02.473033,256,4,6.2260014723193216,COMPLETE
158,158,0.03469794616103172,2022-12-13 22:09:11.980821,2022-12-13 22:10:10.817730,0 days 00:00:58.836909,256,4,9.989932668722622,COMPLETE
159,159,0.049928393214941025,2022-12-13 22:10:10.845528,2022-12-13 22:11:09.661302,0 days 00:00:58.815774,256,4,12.605232701493724,COMPLETE
160,160,0.03506346791982651,2022-12-13 22:11:09.687817,2022-12-13 22:12:11.251088,0 days 00:01:01.563271,256,6,7.8092583713958375,COMPLETE
161,161,0.07148253917694092,2022-12-13 22:12:11.277289,2022-12-13 22:13:07.899546,0 days 00:00:56.622257,256,4,68.29781779916797,COMPLETE
162,162,0.06188824400305748,2022-12-13 22:13:07.929896,2022-12-13 22:14:04.238429,0 days 00:00:56.308533,256,4,11.173669124042346,COMPLETE
163,163,0.03543861210346222,2022-12-13 22:14:04.268521,2022-12-13 22:15:16.528902,0 days 00:01:12.260381,256,4,8.77599751285478,COMPLETE
164,164,0.04102244973182678,2022-12-13 22:15:16.555879,2022-12-13 22:16:11.845353,0 days 00:00:55.289474,256,4,6.7453620747933485,COMPLETE
165,165,0.08268304914236069,2022-12-13 22:16:11.873863,2022-12-13 22:17:23.626288,0 days 00:01:11.752425,256,4,4.438314278064663,COMPLETE
166,166,0.7466527223587036,2022-12-13 22:17:23.654891,2022-12-13 22:18:29.597732,0 days 00:01:05.942841,256,1,11.876569765889032,COMPLETE
167,167,0.03323015943169594,2022-12-13 22:18:29.625972,2022-12-13 22:19:33.161922,0 days 00:01:03.535950,256,4,9.5081871741655,COMPLETE
168,168,0.03357956185936928,2022-12-13 22:19:33.190388,2022-12-13 22:20:42.850118,0 days 00:01:09.659730,256,4,10.21392892297337,COMPLETE
169,169,0.04326291009783745,2022-12-13 22:20:42.878377,2022-12-13 22:21:34.998991,0 days 00:00:52.120614,256,4,11.09419757931119,COMPLETE
170,170,0.03527999669313431,2022-12-13 22:21:35.024028,2022-12-13 22:22:41.740186,0 days 00:01:06.716158,256,4,9.789708447108348,COMPLETE
171,171,0.042757123708724976,2022-12-13 22:22:41.768045,2022-12-13 22:23:51.523198,0 days 00:01:09.755153,256,4,12.673961399949276,COMPLETE
172,172,0.03448060154914856,2022-12-13 22:23:51.575806,2022-12-13 22:24:48.849152,0 days 00:00:57.273346,256,4,8.008870240473305,COMPLETE
173,173,0.034281015396118164,2022-12-13 22:24:48.877553,2022-12-13 22:25:48.436692,0 days 00:00:59.559139,256,4,9.10915341230177,COMPLETE
174,174,0.04154478386044502,2022-12-13 22:25:48.461090,2022-12-13 22:26:45.391496,0 days 00:00:56.930406,256,4,6.050448236074752,COMPLETE
175,175,0.06485740840435028,2022-12-13 22:26:45.418757,2022-12-13 22:27:43.036660,0 days 00:00:57.617903,256,4,10.116248500808169,COMPLETE
176,176,0.03192966431379318,2022-12-13 22:27:43.059090,2022-12-13 22:28:36.021348,0 days 00:00:52.962258,256,4,8.464836819945393,COMPLETE
177,177,0.038510728627443314,2022-12-13 22:28:36.050146,2022-12-13 22:29:29.059427,0 days 00:00:53.009281,256,4,7.085886065859182,COMPLETE
178,178,0.03551337867975235,2022-12-13 22:29:29.086688,2022-12-13 22:30:32.442483,0 days 00:01:03.355795,256,4,8.357675477299113,COMPLETE
